,B5,B6,B7,B18
1,1.856487421,2.035337591,1.891052295,1.855004521
2,1.84632725,2.025140246,1.880637028,1.843195532
3,1.835349194,2.013326371,1.880662672,1.839601842
4,1.835262528,2.013284666,1.880770901,1.830673604
5,1.834645508,2.000528338,1.879450873,1.832700207
6,1.83566166,2.013899076,1.880700352,1.828528885
7,1.835146143,2.013101106,1.879935252,1.82120119
8,1.825756791,1.968789826,1.881508812,1.815170011
9,1.824773853,1.968166176,1.869690787,1.804298052
10,1.824613268,1.957230792,1.87005238,1.82310023
11,1.824619553,1.945599151,1.870044239,1.812125352
12,1.814201936,1.934750504,1.859651899,1.804691638
13,1.813752158,1.923279954,1.859074656,1.79084435
14,1.813440491,1.911889931,1.859008458,1.783470723
15,1.802598004,1.901066714,1.859362259,1.780938613
16,1.8021069,1.889198995,1.858735545,1.77120904
17,1.802579501,1.878278372,1.847817291,1.7686304
18,1.803068314,1.867569716,1.848525292,1.75363048
19,1.802777625,1.867589257,1.848378952,1.746219742
20,1.847025995,1.979626548,1.880780544,1.737664734
21,1.847417311,1.957549908,1.88147216,1.731516674
22,1.836177421,1.945815017,1.881095431,1.708594989
23,1.825780748,1.924246112,1.871008965,1.711469957
24,1.825113644,1.945981133,1.870199515,1.707502137
25,1.825581504,1.901407931,1.870671536,1.749238206
26,1.814031128,1.878674214,1.859612464,1.732769715
27,1.814769194,1.868306133,1.86003391,1.722231333
28,1.813969389,1.856024407,1.859165311,1.711846299
29,1.802765665,1.845199796,1.848139818,1.699267835
30,1.80407704,1.857228891,1.849201702,1.694036644
31,1.851802552,1.924776089,1.883467744,1.681902708
32,1.830703846,1.882231753,1.862821112,1.676977062
33,1.819904109,1.855276688,1.85208504,1.665522931
34,1.809307964,1.839250892,1.846950465,1.657192458
35,1.804609905,1.818539607,1.836828431,1.648224156
36,1.799377065,1.813477006,1.837161962,1.63877015
37,1.788443234,1.797101845,1.831672258,1.627648691
38,1.782923048,1.781004629,1.821147095,1.622153702
39,1.773033716,1.771013042,1.816506092,1.614006651
40,1.773037755,1.760471245,1.81138156,1.676051615
41,1.767872111,1.750291379,1.811605633,1.649300643
42,1.76231507,1.739492504,1.806054896,1.632382992
43,1.767617292,1.754676655,1.813204183,1.616415972
44,1.76266836,1.765939094,1.806264194,1.610902838
45,1.751730487,1.733788742,1.795831025,1.595463869
46,1.741849605,1.713325912,1.78588526,1.72670744
47,1.736091351,1.702407781,1.78032686,1.716567392
48,1.793624015,1.823719462,1.81507569,1.695823557
49,1.783189022,1.808128405,1.815702515,1.677778319
50,1.767364208,1.775761095,1.800243218,1.66065869
51,1.757017785,1.744740984,1.790447621,1.666410927
52,1.746870618,1.729207034,1.780343032,1.646833617
53,1.741717251,1.708108655,1.77532877,1.625763993
54,1.736422506,1.697595424,1.770262973,1.612157741
55,1.726321724,1.682063452,1.760081062,1.605736682
56,1.715806539,1.671476832,1.749647594,1.673645315
57,1.710533351,1.660759139,1.749650075,1.640434857
58,1.7060145,1.651121015,1.745028739,1.613265332
59,1.700311027,1.640134926,1.739645746,1.592096432
60,1.69457986,1.629199942,1.728564228,1.586601182
61,1.684902909,1.60884963,1.723900325,1.580076649
62,1.674474159,1.60352449,1.713978878,1.564173295
63,1.674569248,1.598971214,1.7139702,1.555618272
64,1.663716376,1.587627312,1.703652117,1.540204528
65,1.659013869,1.582971974,1.704013747,1.532161302
66,1.653854057,1.567137637,1.693571616,1.53162324
67,1.642653782,1.561344614,1.687657736,1.522259595
68,1.637857843,1.551171189,1.683074436,1.506526713
69,1.632735041,1.540674161,1.677927014,1.501421956
70,1.627752892,1.525313874,1.673206028,1.496353412
71,1.622125486,1.530157032,1.667436721,1.5334262
72,1.61132566,1.524656683,1.662266263,1.523845268
73,1.60656314,1.514549299,1.657424307,1.501192099
74,1.601514223,1.509391505,1.652538685,1.492417671
75,1.590369231,1.503997433,1.647217463,1.483323852
76,1.585788997,1.493520192,1.636413681,1.480737679
77,1.584943071,1.487632302,1.636255431,1.473507781
78,1.595526389,1.530287621,1.641119179,1.468019285
79,1.574730175,1.504076009,1.631570079,1.458092356
80,1.564901995,1.488759361,1.621213283,1.447866099
81,1.559765947,1.478277929,1.616427321,1.452780878
82,1.559481567,1.478459982,1.61582351,1.442535636
83,1.554689354,1.473214845,1.61672418,1.439271288
84,1.548874108,1.467516494,1.610865586,1.428647568
85,1.538236599,1.451629266,1.600660337,1.424902675
86,1.527914258,1.451923772,1.595917449,1.469811532
87,1.528525263,1.447148469,1.596217952,1.452581965
88,1.522647325,1.446853811,1.595806511,1.442834199
89,1.517485994,1.441674193,1.590650782,1.428376059
90,1.605818899,1.593586659,1.688821116,1.415454784
91,1.563849145,1.546390238,1.625993828,1.45457667
92,1.548091525,1.514705592,1.615743386,1.428317955
93,1.532375563,1.498978608,1.605662676,1.419702688
94,1.526952827,1.483111075,1.594974692,1.415560663
95,1.516957302,1.472966483,1.590410244,1.405680035
96,1.511897596,1.46276044,1.585351706,1.408446107
97,1.506563896,1.451836468,1.579973715,1.396854778
98,1.501545353,1.446867064,1.575218547,1.393567037
99,1.490844405,1.441380399,1.569798485,1.389364429
100,1.485868385,1.431210745,1.570256538,1.378565142
101,1.480413678,1.426024718,1.565249874,1.38490111
102,1.475209587,1.42048765,1.559633934,1.370325181
103,1.485903599,1.420700623,1.564982053,1.373346439
104,1.49609183,1.452255804,1.5749795,1.367948729
105,1.480800595,1.431557633,1.565281117,1.356714109
106,1.469754327,1.415015751,1.559755497,1.460431021
107,1.453901227,1.409731151,1.549897686,1.450099894
108,1.454146207,1.404917318,1.543877153,1.43814069
109,1.455023752,1.395164297,1.545018749,1.428368198
110,1.449042164,1.394534383,1.544594015,1.414787452
111,1.438670937,1.389317118,1.534308672,1.413889163
112,1.433445432,1.383837947,1.528760394,1.398933166
113,1.43339589,1.373681424,1.528926025,1.395332258
114,1.428064873,1.378605989,1.52909165,1.39004613
115,1.422920318,1.37376003,1.523905932,1.386027145
116,1.417429033,1.368258058,1.518667542,1.38821526
117,1.412409229,1.363302404,1.513648227,1.376182656
118,1.412578793,1.358096614,1.513605019,1.36471689
119,1.407598373,1.353269091,1.513947061,1.358985474
120,1.433392049,1.384160574,1.533959919,1.346230876
121,1.438255018,1.405146779,1.53913728,1.426842782
122,1.417354717,1.378719023,1.523624797,1.406448148
123,1.406981664,1.368265778,1.513581304,1.393490749
124,1.401203778,1.35731513,1.507785075,1.388249351
125,1.396700823,1.352493464,1.503196068,1.370187834
126,1.391284789,1.347409915,1.49782206,1.379695167
127,1.386228768,1.337007513,1.492848535,1.368658632
128,1.380436676,1.331235297,1.49241439,1.362737178
129,1.375236415,1.325930378,1.487482777,1.363405113
130,1.370512802,1.321578744,1.482535149,1.351864604
131,1.370508557,1.321225074,1.482787432,1.354796973
132,1.364735511,1.31564853,1.47697118,1.341051441
133,1.375392017,1.32090257,1.481901555,NaN
134,1.386111515,1.347432877,1.49813662,NaN
135,1.369850004,1.326012807,1.482077521,NaN
136,1.364782795,1.310118678,1.477115531,NaN
137,1.354322047,1.305216202,1.472077278,NaN
138,1.354641702,1.300406195,1.472248014,NaN
139,1.354703921,1.300235736,1.467010667,NaN
140,1.349314998,1.289506672,1.46176725,NaN
141,1.344189194,1.279253057,1.456695267,NaN
142,1.338991379,1.279207817,1.451354973,NaN
143,1.338914523,1.274036761,1.451615926,NaN
144,1.334006676,1.274127392,1.446816133,NaN
145,1.328644431,1.263763943,1.446757061,NaN
146,1.323170899,1.258137369,1.441379748,NaN
147,1.318169159,1.253259864,1.436245625,NaN
148,1.318466444,1.253231332,1.436815415,NaN
149,1.31829304,1.248087496,1.436294515,NaN
150,1.323872422,1.253435428,1.441857532,NaN
151,1.360121677,1.289804877,1.467206348,NaN
152,1.339530687,1.263540202,1.451864037,NaN
153,1.329028657,1.247976171,1.447137975,NaN
154,1.323674127,1.232120288,1.441790587,NaN
155,1.318633897,1.227113767,1.431630948,NaN
156,1.313475132,1.221739758,1.431808425,NaN
157,1.313202063,1.211102679,1.426256259,NaN
158,1.307795995,1.205615977,1.426087753,NaN
159,1.303032919,1.200893626,1.421263351,NaN
160,1.303357356,1.190590399,1.416327275,NaN
161,1.303410044,1.185179251,1.416578183,NaN
162,1.297887081,1.179670682,1.410840173,NaN
163,1.298073506,1.174595284,1.410994963,NaN
164,1.293463614,1.153818332,1.406171429,NaN
165,1.288003393,1.164400956,1.406335848,NaN
166,1.287452522,1.158797495,1.40045524,NaN
167,1.309015364,1.174974883,1.421786505,NaN
168,1.325079329,1.185675233,1.432455272,NaN
